partenza,arrivo,paese,passeggeri
Roma Fiumicino,Barcelona,Spain,1222627
Roma Fiumicino,Amsterdam Schiphol,Netherlands,1108389
Roma Fiumicino,Madrid Barajas,Spain,1090636
Roma Fiumicino,Paris C. De Gaulle,France,1088042
Roma Fiumicino,London Heathrow,Great Britain,974938
Milano Malpensa,Paris C. De Gaulle,France,789798
Venezia,Paris C. De Gaulle,France,787241
Milano Malpensa,Barcelona,Spain,759243
Venezia,London Gatwick,Great Britain,747162
Milano Malpensa,Amsterdam Schiphol,Netherlands,744949
Roma Fiumicino,Paris Orly,France,721168
Roma Fiumicino,Brussels National,Belgium,717697
Roma Fiumicino,Frankfurt International,Germany,710427
Roma Fiumicino,Munich Franz Josef Strauss,Germany,706483
Roma Fiumicino,London Gatwick,Great Britain,704587
Milano Linate,Paris C. De Gaulle,France,674472
Milano Linate,London Heathrow,Great Britain,657369
Roma Ciampino,London Stansted,Great Britain,614959
Milano Malpensa,Madrid Barajas,Spain,602492
Milano Malpensa,London Gatwick,Great Britain,569331
Roma Fiumicino,Athens Hellinikon,Greece,556482
Venezia,Frankfurt International,Germany,494037
Milano Linate,Frankfurt International,Germany,488508
Bergamo,London Stansted,Great Britain,469723
Milano Linate,Amsterdam Schiphol,Netherlands,450332
Milano Malpensa,Lisbon Lisboa,Portugal,442911
Venezia,Amsterdam Schiphol,Netherlands,442268
Napoli,London Gatwick,Great Britain,432750
Firenze,Paris C. De Gaulle,France,427342
Roma Fiumicino,Lisbon Lisboa,Portugal,422862
Milano Malpensa,Munich Franz Josef Strauss,Germany,415153
Roma Ciampino,Bucharest Otopeni International,Romania,404632
Roma Ciampino,Madrid Barajas,Spain,388654
Bergamo,Barcelona,Spain,373049
Venezia,Paris Orly,France,369450
Milano Malpensa,Brussels National,Belgium,367272
Napoli,Paris Orly,France,363903
Milano Malpensa,Copenhagen Airport,Denmark,357009
Roma Fiumicino,Malaga,Spain,345006
Venezia,Barcelona,Spain,344019
Milano Malpensa,Frankfurt International,Germany,337590
Napoli,Barcelona,Spain,335750
Roma Fiumicino,Nice Cote D'Azur,France,335019
Bergamo,Bucharest Otopeni International,Romania,333094
Roma Fiumicino,Copenhagen Airport,Denmark,331825
Pisa,London Stansted,Great Britain,327886
Treviso,London Stansted,Great Britain,320668
Venezia,Madrid Barajas,Spain,319273
Bergamo,Madrid Barajas,Spain,314664
Roma Fiumicino,Malta Luqa,Malta,314294
Napoli,Munich Franz Josef Strauss,Germany,311555
Bologna,Frankfurt International,Germany,308324
Milano Linate,London Gatwick,Great Britain,305263
Milano Malpensa,Vienna International,Austria,301359
Milano Malpensa,Prague Ruzyne,Czech Republic,295957
Bologna,Barcelona,Spain,293617
Catania,Malta Luqa,Malta,290311
Roma Fiumicino,Dusseldorf,Germany,289849
Bologna,Paris C. De Gaulle,France,287581
Bologna,Madrid Barajas,Spain,286895
Firenze,Frankfurt International,Germany,282361
Milano Linate,Brussels National,Belgium,277105
