Provincia,La Spezia,Varese,Como,Lecco,Sondrio,Milano,Bergamo,Brescia,Pavia,Lodi,Cremona,Mantova,Bolzano,Trento,Treviso,Gorizia,L'Aquila,Teramo,Pescara,Chieti,Isernia,Lecce,Potenza,Matera,Sassari,Nuoro,Cagliari,Oristano,Cosenza,Massa,Benevento,Caserta,Lucca,Vicenza,Belluno,Crotone,Salerno,Prato,Napoli,Avellino,Verona,Reggio di Calabria,Padova,Campobasso,Vibo Valentia,Arezzo,Catanzaro,Pistoia,Firenze,Monza,Livorno,Venezia,Rovigo,Pisa,Catania,Trieste,Foggia,Caltanissetta,Bari,Siena,Udine,Taranto,Siracusa,Enna,Trapani,Agrigento,Grosseto,Brindisi,Ragusa,Perugia,Terni,Fermo,Messina,Palermo,Barletta,Forlì,Pordenone,Rimini,Parma,Macerata,Modena,Latina,Ferrara,Bologna,Pesaro,Ancona,Piacenza,Ascoli Piceno,Reggio nell'Emilia,Rieti,Roma,Ravenna,Frosinone,Novara,Alessandria,Viterbo,Asti,Biella,Cusio,Torino,Cuneo,Vercelli,Savona,Genova,Imperia
La Spezia,0.0,1397932.825304249,569795.3168970709,879102.8938487779,129442.93541755097,4533580.400475421,2605722.422342026,3559306.4111693124,760285.43128145,404135.0002261736,974447.8201274916,861139.2662393202,288405.59035897406,312081.9966444003,1089847.9756709056,131899.8251208485,96963.74281597282,122757.20591019205,52345.66576871004,291807.88510766794,18456.515887599333,46367.84472930012,126234.6887553961,12768.318826660037,31940.51230868195,12932.972000233725,28296.733762619606,5606.210473185344,15500.998650314326,935696.7284740141,38660.050336051354,118762.57025112284,1041774.6795589441,2044792.5706364277,186395.976830371,5200.043014948442,114019.56939020859,158933.68014497633,408649.63359458133,92270.62717270444,1186538.1348382153,13510.880429596633,1348480.1617759515,57123.57138753995,8399.78989702386,380039.5604242761,11948.959221123341,329612.97455999476,1418445.8439160357,1621091.0520537307,621117.571985547,530159.3302493246,241499.02093678463,1069122.424563952,69957.95951883569,90536.37934937717,55664.3688926289,14835.23889122059,148446.5374875807,339164.21527820214,395041.1263713297,136853.3218294579,34576.82730527999,2969.445394318589,15381.097536960213,8132.817044368034,51818.243043641975,39880.778011079376,11848.481903841843,414032.77620572486,103173.1329022367,62524.03702489196,24485.056360613835,29670.250607717586,21460.310390673705,486345.1819223313,398869.80385903135,241577.14377010454,1579902.2851794804,145020.5002689037,2640077.178560446,207197.51094329375,484603.47087162954,3033273.763342287,396754.9697968683,483091.910666834,848775.3089253178,101318.02993844038,2728831.088420978,36390.556540929516,610698.1994259318,437595.0607237021,264897.1636995031,782743.11627756,638063.9720473732,32481.16172806345,330572.72794070176,91269.3106011375,134649.19387201974,3735217.365193448,798502.3953464213,291600.26623687707,286522.9310234931,1570106.858054955,42637.16305542954
Varese,1397932.825304249,0.0,44325360.99080352,31204892.743266173,2635252.0958693493,119705961.85052179,54946340.15175008,40907238.03362132,10634737.320615875,5735476.22801515,7436778.317040038,5644513.0922959205,3210119.8057772964,3334340.7214033757,8438708.963044781,1025567.1283831628,510797.6423966798,661634.2586700259,294341.9022949997,1635938.7439590842,105151.53477741702,307280.8122908022,782646.5873206625,81148.77088828459,176196.79733583648,71519.5768246377,168856.28370087163,32662.190634737795,99152.41214998401,881931.0779355079,228701.0090898013,689444.5563019312,1999725.9503286658,16050942.150719117,1652297.1892192974,33961.259434650434,680630.8887747334,476057.1552644632,2380134.7769994712,548627.252581633,9500816.777096098,87156.95317821424,9674035.3395458,333331.62394926534,54077.52586146061,1537039.5433133582,77390.09554784113,884972.8511634079,4598192.21636738,50615418.406360835,1302671.0956605147,3788850.2964998744,1483829.0047655231,2048038.167813166,453023.6954314907,668799.2957511521,338945.51476546517,94963.93877543184,949709.4895470019,1188915.1380744395,3182592.8997778143,886248.1524980012,226333.06188554282,19019.17056627079,95614.2021216023,52057.88300974225,196143.43755727177,262859.0970033137,77304.57331285508,1881243.5877294098,498960.5100981039,339405.17880334187,157481.816929182,185332.74179229213,134569.11554512658,2234448.0027356185,3248536.986796781,1198803.191435765,6723765.479585111,768437.9156756953,10664727.654722907,1096886.5537421,2598831.5509961173,12631818.607621012,2042488.235842784,2622391.8236593003,6589139.37929762,539458.6481610817,10607000.552855367,181708.72668408483,3047890.7097375584,2191306.5798110655,1428925.9900369872,25120014.06679121,6608812.78938446,148992.83305348366,3664214.801534134,2373893.6155056977,3564193.5666022147,49530975.628816314,6307556.795686276,6488521.014813043,1485241.1751129823,6359990.807584939,223716.22998764724
Como,569795.3168970709,44325360.99080352,0.0,22259720.963509493,1278766.271744355,58153548.712881826,30693446.915243432,19437208.56964701,4488826.2752445815,2708055.0507000163,3352439.7525288393,2484931.3144736607,1380072.1147903618,1469854.991288887,3583377.3166687125,425340.3921376015,206059.85575213804,267577.3351296741,118809.90362729195,659834.4496948479,42207.471462761874,122650.83298374077,312866.03575602645,32438.411127239528,69047.36356218113,28132.742578030226,66324.74997668625,12805.493205421466,39479.10687779846,361341.4478543852,91597.58835470221,276012.84608585003,818704.7055278075,6954146.346732727,700760.0061834749,13517.728806553116,272064.8761066718,196092.26716132055,951769.4857758115,219521.26826928544,4207701.635181103,34598.707381165965,4138707.002908386,133782.19907944318,21498.741223687288,628155.8387522729,30788.425562369684,364785.9970042105,1889318.6305113942,29785643.92572826,527730.083233735,1603196.6000769055,631869.1967846963,834189.1541220122,179556.35098649212,276942.7450632839,135942.17879304194,37601.76932959048,380149.0565380945,483747.5273079304,1326078.7704039586,353991.6575776185,89655.0265815549,7533.520897500263,37814.7425276287,20595.28536338591,79002.90313696855,105005.04635464918,30601.283515249488,764736.4095081219,201568.78216489614,137877.66758819117,62522.85415952148,73405.42312231526,53920.54076847137,927751.5504523865,1366854.0075332138,494597.3955819545,2898978.5010260176,312778.54931851756,4533190.038546744,439391.7788527175,1102921.6114664467,5314035.051623015,839182.5047879741,1070834.9057795564,2909325.214543255,218565.41258761095,4531930.5162999155,73312.68193852896,1223522.3645994388,912800.9446989913,573412.6675827374,8013295.692435428,2482276.0247005844,60034.46842575012,1324596.1847254317,725390.6276231358,1977975.8534555172,17254612.577665173,2334192.78805419,2146414.841710318,569989.3422553912,2503107.038480904,85457.03447682451
Lecco,879102.8938487779,31204892.743266173,22259720.963509493,0.0,2812162.057397194,75739417.79508615,79700607.4179465,38042331.32797183,6265777.447435079,4385089.736670698,5747066.6372217145,4326278.841196249,2422459.748557943,2665315.0545654516,6090014.844321302,701869.0854393274,324393.76455948385,422845.81843706436,187516.5296420703,1040305.5760266552,66164.21718498702,191719.58721498612,489041.6758415186,50739.39805899735,104726.34365743039,42896.621025108565,101172.1171049404,19469.15636665082,61448.121130968284,564226.6709281784,143332.8012906983,431434.78173060855,1286449.030396993,12112251.209603688,1196088.9036585402,21044.0245361196,424754.731364047,312418.97579890245,1485627.2615818414,343132.4236016664,7504298.882311578,53654.37068926293,7071479.387310224,209826.48581965468,33401.57752159287,998297.5414291809,47887.18692212497,580382.0722499423,3006718.239821766,42123143.41763022,819920.961565304,2703610.7712587323,1066233.371674855,1303147.6423579229,277912.30200313637,455269.77110355796,213287.42684852472,58102.74061067002,595776.1782977488,762290.9172734789,2204041.5480741533,553453.0169090916,138705.05738976382,11646.63381484339,58289.10006758493,31788.53134406377,123120.25181879234,164282.64660688446,47296.60064319384,1210885.7276747595,317175.7345469691,219162.37201991622,96964.14951239823,113386.10964181012,84567.2233202585,1506799.5926517602,2301315.948800794,799205.2634278744,4788312.611113233,498064.07816603244,7490468.438944935,685577.3141057567,1843421.8445136528,8721784.915597344,1350689.7946437018,1713172.717264716,4683081.181271511,346075.63377718243,7481959.583070087,115269.0464097772,1911284.045556384,1491853.528762322,897201.0200226837,8854563.98741856,3344542.931360339,94029.41124094315,1764534.928519232,865766.8380511799,6188253.31176706,22752894.060196552,3268203.970306247,2567287.0816793563,815659.7964347857,3644109.721460639,123536.27436302509
Sondrio,129442.93541755097,2635252.0958693493,1278766.271744355,2812162.057397194,0.0,6316343.4305323055,6890710.174533357,6347662.076464106,670206.6609727566,458896.25252583186,799423.7928412161,743347.3630487049,579039.1384620378,637965.2115044483,1206972.6954317763,135368.14113365355,54985.16683026419,72258.70899923985,32153.141604118216,178033.8203323014,11245.875807667777,33047.25055339728,83586.09496955,8709.307871458348,16750.292179993958,6930.969845246265,16486.932775579357,3145.251996669202,10466.563833108234,85407.64904182636,24402.308980537182,73156.2786696011,200780.4135628232,2407397.1122792326,249644.85422071518,3594.9349587265283,72119.99917759266,50578.08137909198,251432.2783391648,58348.87108770138,1432610.0536353528,9089.369736074601,1363209.1782673013,35796.311094234625,5675.760903763352,166253.78352036112,8159.043463475671,92988.58343057988,490244.33701363823,2844142.4713994446,127409.98562412882,520041.195716288,195268.67807660217,202687.9933266643,46939.27713359639,86360.029454381,36598.542990677044,9770.895931534207,102686.7056899995,124214.03462934722,432923.5173942241,95152.00261556006,23439.146846951033,1960.44040970792,9726.039557275692,5334.923143412389,19925.317976675564,28341.47472783657,7975.071969890504,203403.57965281777,53215.48711802797,37785.509741441274,16422.242614696337,19000.98044105162,14556.18787212505,258776.54359076227,460325.97720396885,138498.5000675826,724514.8681861509,85799.24981402647,1227023.5734518887,114714.98096357503,325459.5197185218,1466857.1113552067,234540.0594149246,297774.44024777866,591495.9576630063,59213.064224161106,1185165.4751412005,19385.906310302656,318385.96537713765,260561.05945439645,151096.33728929138,905970.3065225986,406265.2122676144,15589.758197421701,222127.43438483574,103474.5003653869,807410.2139193529,2962589.89342822,453468.031851659,287422.7656719313,111195.19727430235,491203.7749889763,17640.045729974212
Milano,4533580.400475421,119705961.85052179,58153548.712881826,75739417.79508615,6316343.4305323055,0.0,205462447.78464472,143595454.20326993,63754733.60069827,37215057.85908836,29989867.675308447,18541174.07732526,8314006.978839458,9178907.394098423,23589307.41597927,2747838.725286036,1408071.742169239,1823199.9278738946,804363.1486386062,4468779.803087818,285113.2364406189,809084.8348731862,2086397.2349340422,215452.1652515001,472870.9194577369,192072.2606915362,447634.9797995105,86877.16560700335,262079.2980284741,2812935.1221629637,615274.2131197941,1859440.527191312,6177791.574830399,46815379.41878551,4458069.160616732,89429.9533323098,1825246.9253280489,1442277.7722187892,6409329.597561814,1473501.1166979715,29470514.08022372,229503.85204694443,27993283.076391716,900448.3152847817,142607.53745250724,4454460.938516388,203994.04090813463,2710908.5195268933,13759934.679103427,379268824.52199847,3938784.0578693016,10708223.838565925,4397148.523163154,6270056.920396271,1190771.2741752286,1806300.9965597098,908974.5247427921,249925.59007140703,2521892.0424452852,3474429.0556549416,8524388.97109529,2344065.9577334765,593578.2946125647,50062.21643184525,252673.54670454294,136927.7210240373,561881.4532755569,693258.4778558257,202755.58227981854,5336704.470591675,1393537.6664212814,939464.5776434978,414928.2830453479,489852.75385570485,358860.6904688607,6560622.060016278,8821877.365147362,3440346.636121771,23730720.361217663,2139863.727803157,34233178.366310365,3000205.849332698,7846954.221882263,38857364.36066794,5790454.49290518,7309727.037015535,29682088.53277878,1492353.0277307015,35367299.55050291,504641.5994972728,8421102.94958033,6397545.333983463,3904488.8313525137,62465599.01765105,22104460.38683574,417720.3036760193,10390363.899456955,4396362.435788568,8557149.348468127,119790272.03325498,16835168.89814636,16522970.486694353,4506867.516991274,20973831.550596565,632702.1903248723
Bergamo,2605722.422342026,54946340.15175008,30693446.915243432,79700607.4179465,6890710.174533357,205462447.78464472,0.0,160065914.58450165,18462259.316396054,16035389.36579566,21062665.080506448,14494704.035325328,6815614.12454027,8010562.426439989,17955651.733221803,1984161.6334127504,911475.9665195281,1190207.051068867,525291.9484403961,2912104.310578875,184024.83707471754,524865.6004905648,1347116.400373414,139526.59729472495,285476.22286481626,117254.33322586815,275029.3965666127,52926.39362274242,168251.3579563948,1679189.6935210025,396800.3054834266,1195231.3089353908,3799761.2486015116,37364596.69150235,3445415.828274431,57518.98212969563,1172825.1359508415,924669.9633835825,4109985.6633797265,948669.7787474404,24727100.473812446,146418.31345340004,21418629.4666471,582672.5124605425,91285.05302330159,2889244.7642549784,130904.29834177147,1724504.2257109585,8841741.696294716,106649687.78289278,2380690.8369401065,7996498.935603289,3252432.1505535366,3817954.645357393,757144.9202702311,1291394.244926483,590239.5001886518,158283.1975009996,1639782.4495377028,2202719.284301499,6247984.542093117,1518735.3190474105,377412.6655294052,31736.444126205435,158937.50392465372,86535.0165178682,350181.8689853891,450287.2967733012,128647.18862645711,3460970.926696472,896624.1589323134,620149.6673254047,264689.0504734067,309468.26296885445,233329.71154863306,4452176.032458511,6620782.022814225,2325660.006655719,15701958.505518723,1415005.6143344238,23493093.177182,1910500.4494725177,5646971.824200123,26608767.27449909,3896205.101959538,4881834.84765371,16084054.946040021,977012.8756074682,23889970.246703524,324837.63145444356,5354711.307881775,4413145.846942205,2502510.771847206,20577553.57516072,8985425.634861888,265617.1416622164,4571719.167644953,1981154.1285233458,10926912.610241903,56680529.21212299,8564117.152799735,6199252.276745317,2240286.1520070173,10349742.218392313,334749.61785774614
Brescia,3559306.4111693124,40907238.03362132,19437208.56964701,38042331.32797183,6347662.076464106,143595454.20326993,160065914.58450165,0.0,17418681.348011684,14460596.258210225,37781085.44101604,31201215.199366502,9770086.97518433,13183188.988381442,28458808.078937326,2855245.8342526536,1247049.5435448545,1638996.663882004,718197.2934073095,3973429.8744891062,247644.42725309456,691212.6865902151,1787153.621448081,184848.45477829443,362653.8069389519,150242.40529893822,350760.2103726482,67256.34018576134,220731.70658192545,2365710.116646319,530090.0251988545,1596204.8657574933,5416738.07936391,66555268.85142618,5209039.247529348,75318.617666125,1558367.7359014342,1358413.5100223066,5471929.598743909,1263958.9766347895,53970579.150925115,190675.22405262478,36076283.77453691,783095.4837810303,119290.85953919185,4137130.043454317,171291.08921463022,2534097.770667473,12889348.506893776,59821032.03132787,3285135.0688543296,12692413.320904946,5483690.379322649,5352572.580638555,982341.6006789698,1864741.0488855445,790289.5694594956,205014.8534679421,2178820.9002996613,3107046.222623244,9070145.39534403,2006138.9585307136,488771.6219753873,41138.61719368484,205567.2407394411,111871.63814986576,478598.3337702143,594337.0114102175,166383.632709025,4863114.268203319,1234448.1086203416,865282.4558689663,344836.61842468934,401518.55710828287,311174.45552984765,6753657.806832806,9941682.809000727,3432943.397239074,26683059.899539184,1988367.8164567223,39496417.953196056,2563072.337209245,9453212.07693185,42782768.00216627,5656229.896269041,6924066.267505255,21114997.932076342,1353296.3419852196,40520688.224869095,445245.6580062316,7235043.732817906,6768311.460554866,3371547.4762513665,17744777.978836752,9373194.979270339,363219.5351398407,4783010.0166767165,1859677.809999889,6562600.889661515,58783710.07630259,9626712.931645533,5755966.792388892,2610714.556089147,12370864.234172456,396858.82620978623
Pavia,760285.43128145,10634737.320615875,4488826.2752445815,6265777.447435079,670206.6609727566,63754733.60069827,18462259.316396054,17418681.348011684,0.0,5006735.004262115,4559321.443297623,2594562.1589694335,1037870.1913985538,1145048.845911148,3150232.138035241,369168.83385336597,202320.02245293246,260814.13208898,114563.79291966501,637023.815168406,40681.954232409604,113456.65268350355,295084.7353784626,30365.32341781732,69317.30211934495,28016.878156345505,64641.43114705377,12618.796288314172,37006.80949985198,456251.09931079246,87476.1999927844,265128.8842883589,967701.7405075424,6222701.721708741,582001.5954570726,12592.58200895728,259540.43938891042,218407.70292900963,914220.3474218968,209488.02361348973,3913622.2863117326,32440.811747231204,3784352.5063094883,128077.97243849392,20141.02704692664,655719.040890049,28770.219047557603,414587.5911294598,2068489.0012260852,16868997.52350604,616246.2289088586,1450117.423775606,610483.4275322438,983326.0069513344,168429.29567455663,244734.68921287905,128594.96778334155,35440.54249964968,354767.78899754875,519941.54021086387,1136987.3840329668,329653.1480923019,83862.53806774087,7096.319232611108,36023.28262699863,19430.77333604533,83978.47252814299,97237.7350311177,28675.618723232285,777284.9497708194,202186.63155052636,133946.00290216703,58671.37011292331,69700.021576648,50592.42084583077,948717.1823182472,1170933.0318332594,493191.66094830434,3743168.1788335023,305739.7188014428,5112069.231204634,432891.52605018805,1113595.4631570699,5709421.76557771,827234.2160305808,1039679.8448022027,5587874.917583476,213598.9772855967,5407647.520771289,72991.1723857959,1222313.2017904057,914791.8463474017,561269.2934306652,7490319.274498748,4432845.076140878,61092.75878939922,1751476.7534790272,562344.7761472388,817318.1894564475,17821403.36004807,2639834.1254319013,2364338.301155263,783963.0376980142,3919296.9554954288,101739.15094531019
Lodi,404135.0002261736,5735476.22801515,2708055.0507000163,4385089.736670698,458896.25252583186,37215057.85908836,16035389.36579566,14460596.258210225,5006735.004262115,0.0,3782188.809673469,1797638.136820954,662777.544034179,762281.2099345236,1982347.4215671427,223145.56910149116,114588.57310136114,148611.47712403734,65195.00124706818,361934.20356461196,22927.844386502184,63902.30724775078,165928.58165591658,17100.948798120837,37104.27899074657,15128.499369016019,35034.07472855089,6797.054059865968,20702.68524888491,250890.3845627148,49212.427178605365,148859.84151881063,541335.7527602509,4073796.6086772094,365389.0482769613,7050.5508147177625,145563.99331302627,125840.78186665001,512299.4364430797,117682.34149400174,2704777.4461082234,18060.213778932113,2416691.7749148216,72272.19461580111,11241.183501299103,376146.6472653933,16084.567107258577,238252.6245397588,1189050.6042110512,12094484.955881445,336954.9211164547,906236.4526855664,386088.69026360096,543352.752935557,93525.65231068528,147339.93992919178,72661.54123690401,19626.499216654247,200361.1008381619,293576.45342662674,693011.3387908714,185618.89162766415,46555.013245025744,3932.6551502544453,19860.331830121566,10743.47933928033,46544.29656132629,54825.816764714036,15895.32228384427,443458.82133196306,114288.53856275123,76996.64840265326,32663.034281770775,38548.51305930009,28589.354548371655,565052.5049420246,725339.797358203,290863.8963490651,2436834.032295784,176190.5336804501,3196446.33575066,241917.4201449257,697944.5322414006,3486276.9210294425,484661.13014037476,603465.7527672779,4205110.493272604,122050.54883485391,3421380.2237421786,41227.58605255729,683479.2891590806,550087.5500511101,315111.33061407926,3011390.2056984254,1555740.3861034287,34252.653337760516,707406.1005899482,257362.34686243001,575792.9369718736,7934504.170482903,1222956.3683151293,926163.581324854,350530.8470717807,1734453.2050994162,48630.94949836702
