Partenza,Destinazione,Peso del link
La Spezia,La Spezia,0.0
La Spezia,Varese,0.0
La Spezia,Como,0.0
La Spezia,Lecco,0.0
La Spezia,Sondrio,0.0
La Spezia,Milano,4533580.400475433
La Spezia,Bergamo,0.0
La Spezia,Brescia,0.0
La Spezia,Pavia,0.0
La Spezia,Lodi,0.0
La Spezia,Cremona,0.0
La Spezia,Mantova,0.0
La Spezia,Bolzano,0.0
La Spezia,Trento,0.0
La Spezia,Treviso,0.0
La Spezia,Gorizia,0.0
La Spezia,L'Aquila,0.0
La Spezia,Teramo,0.0
La Spezia,Pescara,0.0
La Spezia,Chieti,0.0
La Spezia,Isernia,0.0
La Spezia,Lecce,0.0
La Spezia,Potenza,0.0
La Spezia,Matera,0.0
La Spezia,Sassari,0.0
La Spezia,Nuoro,0.0
La Spezia,Cagliari,0.0
La Spezia,Oristano,0.0
La Spezia,Cosenza,0.0
La Spezia,Massa,0.0
La Spezia,Benevento,0.0
La Spezia,Caserta,0.0
La Spezia,Lucca,0.0
La Spezia,Vicenza,0.0
La Spezia,Belluno,0.0
La Spezia,Crotone,0.0
La Spezia,Salerno,0.0
La Spezia,Prato,0.0
La Spezia,Napoli,0.0
La Spezia,Avellino,0.0
La Spezia,Verona,0.0
La Spezia,Reggio di Calabria,0.0
La Spezia,Padova,0.0
La Spezia,Campobasso,0.0
La Spezia,Vibo Valentia,0.0
La Spezia,Arezzo,0.0
La Spezia,Catanzaro,0.0
La Spezia,Pistoia,0.0
La Spezia,Firenze,0.0
La Spezia,Monza,0.0
La Spezia,Livorno,0.0
La Spezia,Venezia,0.0
La Spezia,Rovigo,0.0
La Spezia,Pisa,0.0
La Spezia,Catania,0.0
La Spezia,Trieste,0.0
La Spezia,Foggia,0.0
La Spezia,Caltanissetta,0.0
La Spezia,Bari,0.0
La Spezia,Siena,0.0
La Spezia,Udine,0.0
La Spezia,Taranto,0.0
La Spezia,Siracusa,0.0
La Spezia,Enna,0.0
La Spezia,Trapani,0.0
La Spezia,Agrigento,0.0
La Spezia,Grosseto,0.0
La Spezia,Brindisi,0.0
La Spezia,Ragusa,0.0
La Spezia,Perugia,0.0
La Spezia,Terni,0.0
La Spezia,Fermo,0.0
La Spezia,Messina,0.0
La Spezia,Palermo,0.0
La Spezia,Barletta,0.0
La Spezia,Forlì,0.0
La Spezia,Pordenone,0.0
La Spezia,Rimini,0.0
La Spezia,Parma,0.0
La Spezia,Macerata,0.0
La Spezia,Modena,0.0
La Spezia,Latina,0.0
La Spezia,Ferrara,0.0
La Spezia,Bologna,0.0
La Spezia,Pesaro,0.0
La Spezia,Ancona,0.0
La Spezia,Piacenza,0.0
La Spezia,Ascoli Piceno,0.0
La Spezia,Reggio nell'Emilia,0.0
La Spezia,Rieti,0.0
La Spezia,Roma,0.0
La Spezia,Ravenna,0.0
La Spezia,Frosinone,0.0
La Spezia,Novara,0.0
La Spezia,Alessandria,0.0
La Spezia,Viterbo,0.0
La Spezia,Asti,0.0
La Spezia,Biella,0.0
La Spezia,Cusio,0.0
La Spezia,Torino,0.0
La Spezia,Cuneo,0.0
La Spezia,Vercelli,0.0
La Spezia,Savona,0.0
La Spezia,Genova,0.0
La Spezia,Imperia,0.0
Varese,La Spezia,0.0
Varese,Varese,0.0
Varese,Como,44325360.99080352
Varese,Lecco,31204892.743266102
Varese,Sondrio,0.0
Varese,Milano,119705961.85052268
Varese,Bergamo,54946340.15175022
Varese,Brescia,40907238.033621326
Varese,Pavia,10634737.320615975
Varese,Lodi,5735476.228015203
Varese,Cremona,7436778.317040018
Varese,Mantova,5644513.092295933
Varese,Bolzano,0.0
Varese,Trento,0.0
Varese,Treviso,8438708.963044783
Varese,Gorizia,0.0
Varese,L'Aquila,0.0
Varese,Teramo,0.0
Varese,Pescara,0.0
Varese,Chieti,0.0
Varese,Isernia,0.0
Varese,Lecce,0.0
Varese,Potenza,0.0
Varese,Matera,0.0
Varese,Sassari,0.0
Varese,Nuoro,0.0
Varese,Cagliari,0.0
Varese,Oristano,0.0
Varese,Cosenza,0.0
Varese,Massa,0.0
Varese,Benevento,0.0
Varese,Caserta,0.0
Varese,Lucca,0.0
Varese,Vicenza,16050942.150719143
Varese,Belluno,0.0
Varese,Crotone,0.0
Varese,Salerno,0.0
Varese,Prato,0.0
Varese,Napoli,0.0
Varese,Avellino,0.0
Varese,Verona,9500816.77709611
Varese,Reggio di Calabria,0.0
Varese,Padova,9674035.339545809
Varese,Campobasso,0.0
Varese,Vibo Valentia,0.0
Varese,Arezzo,0.0
Varese,Catanzaro,0.0
Varese,Pistoia,0.0
Varese,Firenze,4598192.216367397
Varese,Monza,50615418.40636124
Varese,Livorno,0.0
Varese,Venezia,0.0
Varese,Rovigo,0.0
Varese,Pisa,0.0
Varese,Catania,0.0
Varese,Trieste,0.0
Varese,Foggia,0.0
Varese,Caltanissetta,0.0
Varese,Bari,0.0
Varese,Siena,0.0
Varese,Udine,0.0
Varese,Taranto,0.0
Varese,Siracusa,0.0
Varese,Enna,0.0
Varese,Trapani,0.0
Varese,Agrigento,0.0
Varese,Grosseto,0.0
Varese,Brindisi,0.0
Varese,Ragusa,0.0
Varese,Perugia,0.0
Varese,Terni,0.0
Varese,Fermo,0.0
Varese,Messina,0.0
Varese,Palermo,0.0
Varese,Barletta,0.0
Varese,Forlì,0.0
Varese,Pordenone,0.0
Varese,Rimini,0.0
Varese,Parma,6723765.479585141
Varese,Macerata,0.0
Varese,Modena,10664727.654722942
Varese,Latina,0.0
Varese,Ferrara,0.0
Varese,Bologna,12631818.607620997
Varese,Pesaro,0.0
Varese,Ancona,0.0
Varese,Piacenza,6589139.379297662
Varese,Ascoli Piceno,0.0
Varese,Reggio nell'Emilia,10607000.552855363
Varese,Rieti,0.0
Varese,Roma,0.0
Varese,Ravenna,0.0
Varese,Frosinone,0.0
Varese,Novara,25120014.066791408
Varese,Alessandria,6608812.78938446
Varese,Viterbo,0.0
Varese,Asti,0.0
Varese,Biella,0.0
Varese,Cusio,0.0
Varese,Torino,49530975.628816605
Varese,Cuneo,6307556.795686275
Varese,Vercelli,6488521.014813079
Varese,Savona,0.0
Varese,Genova,6359990.807584954
Varese,Imperia,0.0
Como,La Spezia,0.0
Como,Varese,44325360.99080352
Como,Como,0.0
Como,Lecco,22259720.96350901
Como,Sondrio,0.0
Como,Milano,58153548.712882884
Como,Bergamo,30693446.91524356
Como,Brescia,19437208.569647085
Como,Pavia,4488826.275244604
Como,Lodi,0.0
Como,Cremona,0.0
Como,Mantova,0.0
Como,Bolzano,0.0
Como,Trento,0.0
Como,Treviso,0.0
Como,Gorizia,0.0
Como,L'Aquila,0.0
Como,Teramo,0.0
Como,Pescara,0.0
Como,Chieti,0.0
Como,Isernia,0.0
Como,Lecce,0.0
Como,Potenza,0.0
Como,Matera,0.0
Como,Sassari,0.0
Como,Nuoro,0.0
Como,Cagliari,0.0
Como,Oristano,0.0
Como,Cosenza,0.0
Como,Massa,0.0
Como,Benevento,0.0
Como,Caserta,0.0
Como,Lucca,0.0
Como,Vicenza,6954146.346732735
Como,Belluno,0.0
Como,Crotone,0.0
Como,Salerno,0.0
Como,Prato,0.0
Como,Napoli,0.0
Como,Avellino,0.0
Como,Verona,4207701.635181133
Como,Reggio di Calabria,0.0
Como,Padova,4138707.0029083923
Como,Campobasso,0.0
Como,Vibo Valentia,0.0
Como,Arezzo,0.0
Como,Catanzaro,0.0
Como,Pistoia,0.0
Como,Firenze,0.0
Como,Monza,29785643.925728984
Como,Livorno,0.0
Como,Venezia,0.0
Como,Rovigo,0.0
Como,Pisa,0.0
Como,Catania,0.0
Como,Trieste,0.0
Como,Foggia,0.0
Como,Caltanissetta,0.0
Como,Bari,0.0
Como,Siena,0.0
Como,Udine,0.0
Como,Taranto,0.0
Como,Siracusa,0.0
Como,Enna,0.0
Como,Trapani,0.0
Como,Agrigento,0.0
Como,Grosseto,0.0
Como,Brindisi,0.0
Como,Ragusa,0.0
Como,Perugia,0.0
Como,Terni,0.0
Como,Fermo,0.0
Como,Messina,0.0
Como,Palermo,0.0
Como,Barletta,0.0
Como,Forlì,0.0
Como,Pordenone,0.0
Como,Rimini,0.0
Como,Parma,0.0
Como,Macerata,0.0
Como,Modena,4533190.038546786
Como,Latina,0.0
Como,Ferrara,0.0
Como,Bologna,5314035.051623033
Como,Pesaro,0.0
Como,Ancona,0.0
Como,Piacenza,0.0
Como,Ascoli Piceno,0.0
Como,Reggio nell'Emilia,4531930.516299907
Como,Rieti,0.0
Como,Roma,0.0
Como,Ravenna,0.0
Como,Frosinone,0.0
Como,Novara,8013295.692435428
Como,Alessandria,0.0
Como,Viterbo,0.0
Como,Asti,0.0
Como,Biella,0.0
Como,Cusio,0.0
Como,Torino,17254612.577665173
Como,Cuneo,0.0
Como,Vercelli,0.0
Como,Savona,0.0
Como,Genova,0.0
Como,Imperia,0.0
Lecco,La Spezia,0.0
Lecco,Varese,31204892.743266102
Lecco,Como,22259720.96350901
Lecco,Lecco,0.0
Lecco,Sondrio,0.0
Lecco,Milano,75739417.79508615
Lecco,Bergamo,79700607.4179455
Lecco,Brescia,38042331.32797183
Lecco,Pavia,6265777.447435021
Lecco,Lodi,4385089.736670698
Lecco,Cremona,5747066.637221757
Lecco,Mantova,4326278.841196261
Lecco,Bolzano,0.0
Lecco,Trento,0.0
Lecco,Treviso,6090014.84432131
Lecco,Gorizia,0.0
Lecco,L'Aquila,0.0
Lecco,Teramo,0.0
Lecco,Pescara,0.0
Lecco,Chieti,0.0
Lecco,Isernia,0.0
Lecco,Lecce,0.0
Lecco,Potenza,0.0
Lecco,Matera,0.0
Lecco,Sassari,0.0
Lecco,Nuoro,0.0
Lecco,Cagliari,0.0
Lecco,Oristano,0.0
Lecco,Cosenza,0.0
Lecco,Massa,0.0
Lecco,Benevento,0.0
Lecco,Caserta,0.0
Lecco,Lucca,0.0
Lecco,Vicenza,12112251.209603714
Lecco,Belluno,0.0
Lecco,Crotone,0.0
Lecco,Salerno,0.0
Lecco,Prato,0.0
Lecco,Napoli,0.0
Lecco,Avellino,0.0
Lecco,Verona,7504298.882311578
Lecco,Reggio di Calabria,0.0
Lecco,Padova,7071479.387310218
Lecco,Campobasso,0.0
Lecco,Vibo Valentia,0.0
Lecco,Arezzo,0.0
Lecco,Catanzaro,0.0
Lecco,Pistoia,0.0
Lecco,Firenze,0.0
Lecco,Monza,42123143.417630225
Lecco,Livorno,0.0
Lecco,Venezia,0.0
Lecco,Rovigo,0.0
Lecco,Pisa,0.0
Lecco,Catania,0.0
Lecco,Trieste,0.0
Lecco,Foggia,0.0
Lecco,Caltanissetta,0.0
Lecco,Bari,0.0
Lecco,Siena,0.0
Lecco,Udine,0.0
Lecco,Taranto,0.0
Lecco,Siracusa,0.0
Lecco,Enna,0.0
Lecco,Trapani,0.0
Lecco,Agrigento,0.0
Lecco,Grosseto,0.0
Lecco,Brindisi,0.0
Lecco,Ragusa,0.0
Lecco,Perugia,0.0
Lecco,Terni,0.0
Lecco,Fermo,0.0
Lecco,Messina,0.0
Lecco,Palermo,0.0
Lecco,Barletta,0.0
