Province,Varese,Como,Lecco,Sondrio,Milano,Bergamo,Brescia,Pavia,Lodi,Cremona,Mantova,Bolzano,Trento,Treviso,L'Aquila,Teramo,Pescara,Isernia,Lecce,Potenza,Matera,Cosenza,Benevento,Caserta,Vicenza,Belluno,Prato,Napoli,Avellino,Verona,Padova,Campobasso,Arezzo,Pistoia,Firenze,Monza,Venezia,Rovigo,Catania,Trieste,Caltanissetta,Bari,Siena,Udine,Taranto,Enna,Perugia,Terni,Fermo,Barletta,Forlì,Pordenone,Rimini,Parma,Macerata,Modena,Ferrara,Bologna,Pesaro,Ancona,Piacenza,Ascoli Piceno,Reggio nell'Emilia,Rieti,Roma,Ravenna,Frosinone,Novara,Alessandria,Asti,Biella,Cusio,Torino,Cuneo,Vercelli,Genova
Varese,0.0,1066448.005642169,537627.1836571132,32143.18630658127,3732002.525299174,1244848.0076716107,545629.9681605083,198996.42494355896,120043.2635599214,90908.62263929666,69270.04425978428,63174.28768409481,45926.74727394785,302296.606890524,36250.314590512615,15279.465444142243,4334.135361590427,2732.5532990455395,1230.30675713524,3522.871461068711,714.0989636138214,1356.4416492704236,2670.539057485558,31067.23375906867,498050.5342698575,54414.050594001084,5000.195442098566,42519.11468471475,4300.348449127478,184490.44478453623,196476.46270825568,1965.1571757797417,67579.46761770673,16240.891002612427,145158.5256262525,2016396.2992629826,78769.51061790033,17750.900049136268,35643.184658405284,18644.76863668197,1038.9528110471576,10642.415684803262,29935.656356669468,29556.848077484625,733.8485164393081,173.16845371097395,31474.53694833018,1622.6222292371351,14746.547299918773,2957.775448433268,53925.73606873559,112011.79320354146,26809.666277031083,67269.2981307581,30599.386111971788,187869.85992107185,39283.172652678426,312013.1064457666,28257.804748962873,130382.443257115,81915.51617822197,22109.752040352818,208254.19135771302,6809.995369158697,93215.56573422725,45205.67277265628,35676.87587988901,182741.14949750114,76934.04799124537,51278.396437575226,11985.045712087707,32930.774671751875,788107.982379012,55269.98561012498,126179.59891308466,247780.80015229364
Como,1066448.005642169,0.0,360539.01129601395,14663.307874906117,1704419.100204469,653728.235756216,243728.30858339468,78963.30673593147,53284.36819444756,38526.11759688736,28668.65983206005,25532.59259461571,19032.867543481556,120676.81122019124,13747.708322493489,5809.1624644072945,1644.6634622890024,1031.1370298992665,461.6602594093198,1323.9254874544272,268.35522307115184,507.7374219505349,1005.5158360549561,11692.477848077504,202857.34116432583,21695.328078640276,1936.2541993646946,15984.110100119215,1617.621443411738,76812.49889450119,79020.82602163701,741.4692179549527,25963.972980035225,6293.497801286445,56070.529295884306,1115511.562013039,31333.68741947618,7106.204952415866,13280.98772311623,7258.137748879882,386.7402789561798,4004.7681631380265,11450.6649745123,11577.648876496401,275.56123795210976,64.48359255437204,12028.185208582752,616.2380922308341,5631.704171965073,1114.1612835036187,21049.003483776356,44306.97362146891,10398.468123648105,27266.120897316345,11708.868041587362,75073.26258031993,15672.818127474053,123397.22512243236,10914.637075414934,50051.61259831321,34001.945825893126,8421.33941327183,83648.55135173573,2582.998541123156,35178.31098476523,17702.715800658138,13459.173361178273,54802.66330935523,27165.595470181957,17426.534597196896,3442.8999670693543,17180.495022566454,258100.04385451679,19228.213106915322,39240.19092979482,91677.88945004159
Lecco,537627.1836571132,360539.01129601395,0.0,23091.505295548894,1589619.761359304,1215582.199437299,341594.0706410127,78929.36602731213,61786.26422878535,47294.606579430096,35741.98187784778,32093.776548756687,24714.362146631513,146865.82762516072,15498.17411796318,6573.813193826752,1858.8103320310547,1157.5009246558232,516.7608389556284,1481.9109764693292,300.58472679913086,565.9154916933086,1126.7344790994755,13087.70613853487,253013.03295984014,26517.433946046,2209.0748404603737,17866.42521151726,1810.6444182358298,98099.81768503245,96684.8178143456,832.772207483731,29548.461221847538,7170.328206410888,63898.88808357801,1129689.1964790546,37839.03147209222,8586.851178680074,14720.023254043292,8544.273643411407,427.93603975444324,4494.462044693701,12921.22876083281,13779.769378379387,308.51549367656145,71.38759793263982,13638.374746381018,694.3786240811363,6410.368829896201,1251.3160503128308,24480.848455623676,53419.19309589808,12032.25411094191,32250.16773154945,13351.63007025406,88830.3683513921,18758.508178991506,145029.87466289217,12579.97033542559,57341.33829871458,39193.52335167947,9548.647860092316,98892.11370411691,2908.2308308655065,39351.331008913294,20718.634185325744,15080.369507154805,43363.946226707354,26210.60537652248,16623.74669731871,2942.554609639881,38490.5299442854,243719.697720865,19278.910062412935,33609.573768080845,95575.75782259346
Sondrio,32143.18630658127,14663.307874906117,23091.505295548894,0.0,93852.3731726415,74403.76579524264,40352.01546465505,5976.963750310771,4577.582667366399,4657.476656912674,4347.745964591464,5431.007559935708,4187.994317976049,20606.682703244333,1859.7810488553998,795.3050668705051,225.64575453804812,139.28350401154546,63.061845369208314,179.3157812332056,36.526955427024575,68.24256368801589,135.80480933702714,1571.1158827254926,35601.96682422773,3918.310840916067,253.18828599620295,2140.706210700096,217.97771870285027,13258.497307538937,13195.283871288455,100.58018317655738,3483.8114169709816,813.3227319953543,7376.008138873066,54000.50027181761,5152.782659234107,1113.3263392909503,1760.1324691544742,1147.4330326581787,50.9477332069686,548.424738860968,1490.6029331142713,1916.2032975173738,37.551076001150996,8.50715266854125,1621.9082529348402,82.47886259910148,782.439098393233,152.48278975240157,2976.4878352223454,7564.753708742029,1476.1889927413813,3454.6576546661963,1628.3238877097235,10301.812086754091,2344.6540882558534,17268.242646971532,1546.497641892474,7056.0609731721925,3504.6337107565987,1156.6357813844002,11090.050559314182,346.26653102377276,4640.8372694908785,2561.8440017988673,1797.9780846896017,3141.1148285742297,2254.021974285913,1481.525348155125,248.9803972571209,3555.3984558007896,22466.41390923927,1893.7743624180596,2663.900296082601,9120.659319719714
Milano,3732002.525299174,1704419.100204469,1589619.761359304,93852.3731726415,0.0,5670518.6260039285,2333197.5654140543,1453261.297018732,948854.8322149059,446588.52199125174,277184.5229768584,199316.04579805158,154013.73928046002,1029402.5006442751,121730.79099624313,51290.53587388293,14428.304834522472,9025.747319408127,3946.2518036856673,11440.39093828574,2309.617624235522,4367.604596148797,8752.101229458032,102070.04259146117,1769596.2676673753,178847.32918407192,18453.959302667205,139478.746001421,14069.85120829587,697129.4216606332,692579.2285776912,6466.843166049417,238581.98394995302,60604.87106711283,529157.0224481946,18405726.80006369,271194.5187273581,64079.6930762174,114129.17996245509,61342.86819003771,3330.8923306984175,34426.169065725415,106569.79773214264,96439.0788714258,2364.4692525121513,555.2646740131466,108767.77282914202,5520.554777753465,49723.88559236232,9608.563295998994,192878.40867683385,370552.4726880512,93725.65528285694,289219.8032174638,103801.30436688596,734627.7516657866,144491.50325926775,1169211.4556659833,97589.76548428214,442726.4387033522,449515.5289534834,74509.22542437668,845893.7681755791,23039.17083191696,313740.6497109525,160774.04242461914,118755.58194414628,553566.9439832007,313464.1053702938,177132.0032431439,27038.630824767846,96312.47480857196,2321898.1219563754,179704.28168509298,391421.1778557532,995409.3232413519
Bergamo,1244848.0076716107,653728.235756216,1215582.199437299,74403.76579524264,5670518.6260039285,0.0,1889996.9059659562,305821.1582473581,297106.391566666,227928.0312347885,157468.07108192073,118737.6042763716,97674.88216682966,569406.7509385005,57262.76211744084,24331.9474689803,6847.236016803924,4233.4422797163525,1860.331125678596,5367.85035593184,1086.9201367074336,2037.6077578227907,4101.7295944858815,47678.14767138839,1026354.415125027,100445.08988410152,8597.631130358244,64996.07712698284,6582.721947005925,425060.0644771259,385086.8726458772,3040.9513995805555,112454.86163554402,28016.142773719654,247091.2832527228,3761116.830675437,147168.46505561052,34443.63220693849,52734.97814169884,31870.157759628397,1532.9786034029976,16266.714699248128,49097.712339242586,51366.639148791175,1113.2618990012968,255.79947335650098,51259.745207343156,2581.2249714523755,23852.426908551282,4539.980850131883,95117.91711643108,202092.12894439948,46041.97209292909,139066.440837018,49879.97952765628,366363.09442150913,75562.83107870181,581829.7009191365,47718.286690105,214866.54041958257,177009.7551144508,35447.872469903195,415222.5616243451,10777.090798214642,144973.72104527178,80593.91441057685,55311.72624024345,132517.8528214423,92597.22332106289,56636.607398038985,8854.43555482247,89372.17150300511,798374.9747830997,66431.637323022,106720.26928045927,356947.93285669223
Brescia,545629.9681605083,243728.30858339468,341594.0706410127,40352.01546465505,2333197.5654140543,1889996.9059659562,0.0,169870.69197447682,157739.0369921486,240701.80527215035,199560.76673591553,100207.9591043709,94636.97808726237,531323.0351710811,46124.45823195698,19726.6309761707,5511.614286784688,3354.024725123179,1442.3622330506346,4192.544313202741,847.7678751267418,1573.7916174909114,3226.0059190097577,37486.6423946702,1076316.498532866,89405.69761171285,7436.088494494991,50945.73578859243,5163.496931149398,546203.7633292242,381864.5386724814,2406.135979678171,94801.14274215083,24237.506876484247,212066.011101614,1242028.7139288017,137524.34402727612,34189.60810083726,40281.23644527319,27093.455415952692,1168.980064353655,12724.93720249853,40772.77932588889,43901.15570229949,865.758500058146,195.21427393580456,42404.64831479696,2092.2267935792843,19593.60985795185,3564.580398145082,84947.29532026434,178657.1951412159,40012.421479409786,139131.23654072772,41265.33052096608,362618.3076822858,74471.91142968353,550757.6154419516,40784.071895668385,179418.5833274062,136808.53609944484,28907.018124084632,414631.83810710325,8696.718223569427,115322.72201746282,72770.40708528807,43872.36397329262,67277.79025738181,56867.935247100526,34885.06012597282,4893.288547275532,31601.03689552554,487472.9381382652,43963.3600718474,58337.3075667733,251186.25929525052
Pavia,198996.42494355896,78963.30673593147,78929.36602731213,5976.963750310771,1453261.297018732,305821.1582473581,169870.69197447682,0.0,76617.51101730856,40749.809051943026,23280.279177053108,14933.694935820326,11531.47465641742,82509.68804845533,10498.007633388088,4403.788163909804,1233.396995179405,772.9652262612332,332.13378702757245,971.1425203683394,195.37072656071598,370.15583566597047,746.8371035501035,8735.050226081563,141174.73747156918,14013.679835813042,1677.262194027482,11940.944234042998,1200.5785877687042,55564.44329578435,56195.24493282363,552.0778728858899,21079.12815932281,5562.900948263067,47743.44647276029,491346.0384656177,22042.405931465833,5339.683617331575,9688.98622920388,4988.406620114722,283.49316215914075,2906.6901967143713,9571.887115634947,7720.364400772685,199.578350621627,47.2406075071093,9508.230458769074,480.73839275502405,4255.070555156122,813.0371430011837,16740.47278415466,29519.779933392056,8064.2571185510005,27380.96835976875,8901.453225604031,65842.93669758872,12307.249414366006,103110.81202911024,8367.822697224263,37794.29788215611,50791.2940671558,6400.737329063021,77627.33184271098,2000.0759826688295,27332.331279521855,13798.033759091213,10245.979648498762,39840.238348183484,37729.65306357524,17921.031876611145,2075.8034597919045,5521.244167932249,207327.00194164395,16912.583134820678,33616.93919413703,111641.19003953857
Lodi,120043.2635599214,53284.36819444756,61786.26422878535,4577.582667366399,948854.8322149059,297106.391566666,157739.0369921486,76617.51101730856,0.0,37811.0183437133,18041.64695908672,10666.9884494303,8586.691361620164,58075.36666895047,6650.574058946419,2806.7094304440416,785.0902850121535,487.27168769857406,209.2422747956996,610.8115338612815,123.0698269727737,231.62180323625955,469.95964292193224,5485.746281658937,103377.76768780632,9840.866607412323,1080.9465444600023,7484.477172538869,754.3840503220828,42953.583160511334,40140.15561890415,348.4551943607245,13525.142433128029,3575.7942699218083,30698.043077860722,394035.51380971697,15408.03142291548,3777.274347684958,6017.848566013775,3359.2057628592524,175.60418879779564,1836.1906709238244,6045.247336172452,5263.471757752056,125.69794558195483,29.28316386977675,6067.678229897513,303.95469244239865,2735.8899958690035,513.9005458687328,11152.431395702295,20453.722876554428,5319.71372551802,19938.166451851805,5737.747417722581,46050.005517956335,8627.883278644294,70424.4987414202,5483.678358858477,24537.430824444556,42753.317160912426,4090.914244621335,54936.04964901405,1263.6123594806184,17095.009063738547,9280.610302731751,6434.221808586887,17915.891947456428,14811.09566661767,8096.125627131782,1062.6209583560478,4350.727925435929,103248.45539730252,8763.832559884202,14729.433819517468,55262.26449577251
Cremona,90908.62263929666,38526.11759688736,47294.606579430096,4657.476656912674,446588.52199125174,227928.0312347885,240701.80527215035,40749.809051943026,37811.0183437133,0.0,36342.98174371149,13428.388802815416,11450.103791478754,81705.60447348151,8712.129226917079,3694.3629751710164,1023.7568382237816,625.602253690724,261.3945832158609,770.5924527459825,154.88151435665193,288.8216352700106,598.1021646697154,6986.051837559504,155337.94230977073,13162.597447119575,1598.183143092832,9502.35342002946,957.4577108443959,71930.45357512878,59718.50766814764,446.26667955704596,18900.489686691548,5339.25322621861,44606.05070793679,211719.5938710976,22027.30323240594,5851.837264879603,7423.537727354086,4476.06441396887,216.37421682326243,2316.1606299688447,8382.870690595846,6968.004117770403,157.6262750119126,36.10776591254178,8239.691515783301,402.6717652386521,3644.07281696398,651.0458013316704,16409.080169441364,27611.575292451973,7537.865242111249,46441.39235017098,7706.992393061308,82147.58065777503,13764.662433241261,113569.46385354621,7616.165799286397,33184.14218185845,60105.12501274384,5418.869129775578,107405.464451013,1663.4822695263658,22186.304069421054,13655.901067341983,8293.719564137067,13009.3299433945,12817.286574582215,7392.912479139251,910.8963828899938,3868.5413839964654,96740.14620013113,9068.995278460827,11614.105629579297,61191.73932296295
