Province,La Spezia,Gorizia,Chieti,Massa,Lucca,Trapani,Brindisi,Messina,Latina,Savona
La Spezia,0.0,14984.372923823628,49549.217068380465,59501.09817085448,51534.50837838996,364.6984864308583,5146.97257829441,841.6371202080276,7694.84805331441,42786.75307809518
Gorizia,14984.372923823628,0.0,73133.14606594329,6641.322896917616,13720.091770713363,432.00739007493837,8514.652038828397,1150.2194113166954,8735.3167605639,15606.380380398321
Chieti,49549.217068380465,73133.14606594329,0.0,22476.321983255086,50177.869067525324,2807.2747947883527,58331.55108377098,7778.509769366409,112059.92808068173,49963.005567320615
Massa,59501.09817085448,6641.322896917616,22476.321983255086,0.0,37382.76506364468,158.22039652700863,2260.8159859733837,366.9714704251672,3466.2158469487586,14665.261259829096
Lucca,51534.50837838996,13720.091770713363,50177.869067525324,37382.76506364468,0.0,333.6219507350734,4799.910248822652,775.6214013439264,7746.9845147616315,23776.130899944183
Trapani,364.6984864308583,432.00739007493837,2807.2747947883527,158.22039652700863,333.6219507350734,0.0,507.6539983629998,180.42147095716925,545.1921772821921,427.45149870536744
Brindisi,5146.97257829441,8514.652038828397,58331.55108377098,2260.8159859733837,4799.910248822652,507.6539983629998,0.0,2163.7733221231283,7378.623464566788,5769.030274996357
Messina,841.6371202080276,1150.2194113166954,7778.509769366409,366.9714704251672,775.6214013439264,180.42147095716925,2163.7733221231283,0.0,1288.1545005309358,969.7385025346572
Latina,7694.84805331441,8735.3167605639,112059.92808068173,3466.2158469487586,7746.9845147616315,545.1921772821921,7378.623464566788,1288.1545005309358,0.0,7909.902339936554
Savona,42786.75307809518,15606.380380398321,49963.005567320615,14665.261259829096,23776.130899944183,427.45149870536744,5769.030274996357,969.7385025346572,7909.902339936554,0.0
