Province,La Spezia,Varese,Como,Lecco,Sondrio,Milano,Bergamo,Brescia,Pavia,Lodi,Cremona,Mantova,Bolzano,Trento,Treviso,Gorizia,L'Aquila,Teramo,Pescara,Chieti,Isernia,Lecce,Potenza,Matera,Sassari,Nuoro,Cagliari,Oristano,Cosenza,Massa,Benevento,Caserta,Lucca,Vicenza,Belluno,Crotone,Salerno,Prato,Napoli,Avellino,Verona,Reggio di Calabria,Padova,Campobasso,Vibo Valentia,Arezzo,Catanzaro,Pistoia,Firenze,Monza,Livorno,Venezia,Rovigo,Pisa,Catania,Trieste,Foggia,Caltanissetta,Bari,Siena,Udine,Taranto,Siracusa,Enna,Trapani,Agrigento,Grosseto,Brindisi,Ragusa,Perugia,Terni,Fermo,Messina,Palermo,Barletta,Forlì,Pordenone,Rimini,Parma,Macerata,Modena,Latina,Ferrara,Bologna,Pesaro,Ancona,Piacenza,Ascoli Piceno,Reggio nell'Emilia,Rieti,Roma,Ravenna,Frosinone,Novara,Alessandria,Viterbo,Asti,Biella,Cusio,Torino,Cuneo,Vercelli,Savona,Genova,Imperia
La Spezia,0.0,188145.2602217179,123853.62558600241,247434.7154324678,29929.614550677186,571101.2089092811,495360.64643497893,936977.8536776871,113494.13615927243,52152.55174786593,203546.3183999616,146853.1016716694,57631.5110681887,59278.72762948043,213607.49509521108,20150.74145173255,9752.751537798074,28931.03567290984,10592.641828401313,36324.8107476051,3450.575604746576,14781.789092246348,12142.847347376415,2356.804900884557,8368.612248895019,4237.388452296958,7554.105934284408,2133.3660839980266,5114.495478053571,156758.63524113988,7637.585071335597,19370.71249136316,134228.1826656538,389721.2132642097,26771.48100689629,2051.5480843170203,31304.049473079027,28777.60142565923,54666.019102246624,14669.671249387022,206423.59671606508,2882.8912282765546,259215.44744621278,4831.275067155452,3365.8951146963027,82916.6731106418,3475.049123208956,57103.169474217626,240078.69472740332,250656.2789122944,152593.41957852055,101340.56781768994,53706.88203995506,104009.89411709078,7506.514119408549,12860.262272526836,6036.398216443147,3624.3062661935355,25467.310649623112,35704.17729400702,92990.67880412919,53792.6696519379,4586.382828322253,871.1084061553549,3591.6657684856937,2701.318822757493,10069.70884320488,6653.468595898834,3284.8168638285856,91589.89238440062,39539.583607579654,16441.396384771037,5758.379699417617,6809.144447638964,6012.024061135717,94231.11663433204,83801.5867970792,38141.957465264844,201480.75438975767,31303.511025538497,321078.5720060143,31731.046377928735,61329.509015036885,372433.89483753924,80086.34120630725,72497.90584731544,154422.20699044663,17618.36668487762,366912.8404485377,4641.6014231819945,68916.8979757233,73572.97781701045,24860.22409277253,93160.5252558497,111433.98098740287,9197.385001614019,55044.0739726865,11774.630220050896,42094.050711542266,491154.1064950376,112067.98009555401,40733.772696439715,30982.92073132489,193081.82518614578,11840.616355371576
Varese,188145.2602217179,0.0,5510484.34971993,5023324.795481639,348491.81432398444,8624524.917260604,5974200.102311357,6159021.928585464,907969.3022805395,423317.5030334876,888458.4909200713,550533.6369386896,366880.99630310567,362232.80348175997,945963.1476051456,89610.42696709781,29384.23012783169,89183.1101213776,34066.16890641795,116471.86200154501,11243.592209923097,56026.459322429495,43058.12963133153,8566.817270774383,26403.239881775076,13402.089713338373,25781.704848809437,7108.67960487765,18710.872863538498,84504.26968947671,25841.003187163544,64315.107120142166,147362.85886651918,1749657.1672023193,135728.69397422826,7663.130032932025,106876.05692978467,49299.82684647127,182102.3407270321,49886.372933177074,945336.0637761333,10636.39088816243,1063583.5950029008,16123.91775208189,12393.57537575235,191798.73803175267,12872.52948526742,87686.65569313847,445118.48208189296,4476119.309765697,183039.3267556607,414220.9054126313,188732.2272221485,113954.87385001217,27801.596358732164,54333.80921891917,21022.19823938873,13268.954607879466,93186.16401878145,71582.60619911274,428475.3477075342,199237.3427514217,17170.415470907887,3191.068139320466,12769.639530426677,9889.3782595081,21799.957928690987,25081.594611220746,12257.482523952698,238015.6435617908,109365.23523787278,51045.53926481619,21182.50171605497,24326.023765453323,21561.439504442475,247609.6782014861,390352.11938141217,108253.68006372379,490414.76990759093,94868.07335780888,741809.0244561821,96074.73956093179,188108.63909024352,887056.1557503615,235799.71980194087,225082.08108653614,685635.5936921277,53651.85113999533,815692.5413312643,13255.697215535256,196718.91257940538,210715.6096014174,76698.18901673345,1709937.3279521184,660122.4696316257,24129.36172185298,348957.16192960634,175158.57472880586,637273.5411691742,3725001.27125761,506307.23580222984,518394.1336692445,91856.01376035344,447317.93996651383,35532.94018956264
Como,123853.62558600241,5510484.34971993,0.0,5787235.43809003,273114.3104777774,6766724.455533038,5389761.243974311,4726376.964189196,618956.4112947854,322802.6563942028,646838.9416134314,391430.4732229592,254735.0034537927,257890.39170333254,648744.3946773527,60022.48213416239,19144.397082203184,58250.11981452678,22207.860271596466,75870.3061088218,7288.894681595637,36116.95323981946,27799.10116733516,5530.698712753475,16710.489869157936,8514.174101663948,16355.088426811088,4501.143004266077,12032.086698309082,55917.10210065677,16715.06992766745,41583.9572199514,97437.85436564563,1224275.4087955127,92968.46994998511,4926.1655927075935,68996.03202623596,32796.661253334525,117605.7686641771,32237.698165711787,676165.627265423,6819.224569689941,734871.6814244094,10451.418929171112,7957.482653337838,126593.37406206178,8270.825591059713,58374.69000538841,295376.93665285787,4254109.709705855,119757.95028769855,283070.24478031317,129799.27385049721,74962.19024208843,17796.412179316343,36336.84435220518,13617.12210175403,8485.337865416914,60241.731149295345,47039.021298624306,288334.72061652585,128526.08975542952,10984.753568723116,2041.3871257172893,8156.432565184859,6318.779040496323,14181.030576020648,16181.738295054978,7836.436296348892,156262.62176943742,71354.15343385197,33490.07569778525,13582.149246748491,15560.73088840203,13953.060037191879,166039.6928796654,265261.1974785928,72132.24902467804,341490.6746168998,62363.59263657352,509247.7729837905,62155.89146450385,128931.23037136528,602687.9630263489,156467.0921917681,148439.24226873528,488922.24979020836,35106.76869509219,562859.5146985336,8637.514057506567,127538.5592598955,141759.61224016975,49707.91267185338,880956.27429226,400436.8242044517,15702.326190515856,203731.20825250595,86442.03050983968,571174.0403235633,2095741.0724308428,302602.53143177734,276956.07448889926,56932.4952830914,284329.629582908,21921.200801212563
Lecco,247434.7154324678,5023324.795481639,5787235.43809003,0.0,777722.5674057135,11411830.327141026,18122435.74845095,11978230.305612553,1118750.6648738077,676844.9137872849,1435861.2725957786,882441.2977475757,578994.5663093652,605536.4575847394,1427678.773942184,128252.10767879224,39025.80525498979,119195.70651880479,45386.291992169514,154891.95083815677,14795.395923959582,73103.49882033169,56266.41938092384,11202.032049565863,32819.283486359534,16810.65407892731,32304.958413953565,8861.448285471723,24250.087770774062,113060.67141879257,33868.87883625274,84167.17442687447,198254.96969524372,2761157.9002454015,205475.9089654725,9930.363586511421,139482.88965672674,67660.8803157753,237704.70675971147,65249.96042683348,1561526.4647238976,13693.4000985504,1625878.8554620915,21226.00713837072,16008.871555370577,260516.14856829596,16657.575137094496,120262.8497132067,608688.6173044106,7790288.446088009,240932.59877401433,618134.0657855428,283614.4949705141,151636.03647753384,35667.32422898947,77349.427616615,27664.793544026787,16978.078986563374,122252.49579955055,95982.34084453636,620552.4151998175,260201.6822366976,22005.895403176182,4086.5693022685646,16280.117148665226,12628.939767758407,28617.079567151533,32782.1751327158,15683.390854681435,320388.98197818245,145387.4815249869,68931.74401732931,27275.452788361417,31123.81128904362,28336.641011015767,349194.02176252054,578307.6214955917,150927.04074313323,730377.5628830496,128590.96589893049,1089595.40820846,125579.24978833762,279041.8118463707,1280868.5102129083,326101.8647286695,307509.4256642141,1019084.7206284814,71979.9460700243,1203270.3085136055,17585.447871763492,257979.91911808265,300008.5934465711,100711.50259470762,1260495.9027657579,698637.324573512,31846.236455588485,351427.21739567025,133593.41134779464,2313910.8966489956,3578492.6563881775,548625.5893525567,428946.11725419026,105495.42192799509,536000.5259485401,41033.83381489267
Sondrio,29929.614550677186,348491.81432398444,273114.3104777774,777722.5674057135,0.0,781809.4715815133,1287125.1309045565,1641879.1306026268,98303.48847546958,58187.144427291474,164076.04080226953,124556.09126381381,113691.41895056826,119066.7746689695,232440.30984632767,20320.14071839061,5434.089302157233,16732.87700797365,6393.083957193995,21775.707956108206,2065.8488593749175,10351.632846612176,7900.221951992724,1579.563144630266,4312.185052820584,2231.2970210563262,4324.641028282059,1176.0204387417386,3393.2095594988227,14059.069089364637,4736.832220790253,11724.14139997894,25418.779391951637,450833.2694089586,35230.75224931353,1393.5714375126572,19455.404859330894,8998.38227710729,33048.42755200088,9114.918745813442,244888.882581077,1905.644172125711,257479.26075849077,2974.733890861783,2234.7023335829367,35640.84842353969,2331.4899656966095,15828.836104601482,81529.89493215822,432101.68718534196,30755.931936922465,97673.80521438338,42668.815487946384,19374.864474779075,4948.812550432163,12053.215454713678,3899.6696966698655,2345.460742952336,17309.744996641475,12848.224291761431,100131.73014339282,36749.30437135101,3054.8535621832825,565.0852118413014,2231.5573669206697,1741.1109399046252,3804.5467539387328,4645.905468218151,2172.4335335483574,44211.4595671791,20038.580330792338,9762.93524001199,3794.854149722115,4284.604884093085,4006.782774968662,49264.951821059534,95027.65256850689,21486.003405750675,90784.99588234615,18197.451795177825,146626.0182525893,17261.694739621442,40470.948381771006,176965.59299450234,46517.51896245137,43908.29246975665,105738.27803372085,10117.189365101382,156577.25782899652,2429.5659449109603,35303.39175888741,43044.6191031367,13933.014930763235,105947.3431095008,69715.04208413693,4337.461435960472,36342.030077612115,13116.539755137288,248013.10878042225,382769.10030064307,62533.888065816594,39450.39157839831,11814.420799654723,59352.2675249301,4813.368938385664
Milano,571101.2089092811,8624524.917260604,6766724.455533038,11411830.327141026,781809.4715815133,0.0,20909239.181960672,20235645.48935966,5094735.148209061,2570870.6036991808,3353448.4461763734,1692619.6712962103,889363.1657249873,933326.4360389783,2475016.946954154,224724.52556792082,75814.97457455882,230018.99542931092,87134.09938977042,297788.35746389296,28534.589434756537,138075.4840654703,107436.34910241436,21288.89885205662,66323.37165430267,33688.13826783872,63971.00890520535,17697.58687996196,46290.11490468719,252271.68030159973,65069.09712377275,162353.15063581074,426103.97550052777,4776455.723783193,342763.90816799895,18887.313538911723,268259.53766100743,139797.68684020228,458977.46398792666,125406.42848879345,2744591.874506758,26214.827658102833,2880597.467730145,40767.832697078666,30590.53394597469,520260.2409675194,31758.557748546562,251410.37714404857,1246722.093475149,31392850.122677837,518008.13779638393,1095738.1603582718,523477.623640933,326536.03900584794,68397.77004861156,137350.18417423763,52767.28214105843,32685.376610164414,231607.13079710695,195796.47820818267,1074169.4262947172,493230.5904895372,42147.866431022856,7861.752297171259,31584.993165350068,24346.618110630043,58450.9196125612,61914.46149650955,30090.797191597314,631972.8210342035,285888.4476648613,132246.6012590845,52237.7726173135,60179.6015728411,53817.438206451865,680467.1451678344,992189.2567526866,290778.14348661446,1620043.5306034565,247264.7402833752,2228714.0155405067,245959.3489507722,531614.1205287717,2554014.457431748,625692.7920310156,587231.4106103636,2890838.934780157,138919.40048847714,2545661.0556792333,34456.774185202165,508721.95365509967,575800.0740067338,196157.23773729938,3979843.5682556056,2066549.259100695,63318.52930792157,926161.5084942068,303618.6303991136,1432051.0351003043,8432102.402735192,1264838.9188832839,1235569.7526906906,260885.64554751452,1380709.7196344126,94058.43943711945
Bergamo,495360.64643497893,5974200.102311357,5389761.243974311,18122435.74845095,1287125.1309045565,20909239.181960672,0.0,34040570.1110595,2226463.6914242776,1671716.479098752,3554282.9693861897,1996885.2009085289,1100260.044499211,1229213.105883811,2843058.2250733743,244882.5697861417,74062.27127118605,226607.10374904214,85873.33295552268,292851.38334861345,27794.078769799413,135173.7049769338,104684.15712329323,20805.632949966828,60424.842265707826,31035.793826941757,59314.36611658028,16270.552698548498,44847.23930434953,227263.734093631,63328.56668328853,157489.63754463007,395512.5214817345,5753062.626034422,399771.21746356756,18332.427314110046,260128.78072676316,135256.89685294803,444161.24038401904,121844.51675945896,3475240.3734072642,25239.109140678513,3326151.375639139,39811.17162716375,29550.56868237498,509250.43857569434,30755.216723217956,241353.82943553507,1208962.1401302533,13321857.483325798,472496.9455133914,1234840.3823930225,584328.1736356642,300062.6882452162,65631.78263949353,148190.22763217846,51708.61174142677,31239.147672633047,227265.36930640286,187327.77531472605,1188149.4432740286,482262.91066159145,40442.28150001901,7521.234713503727,29982.579434850544,23219.921037393167,54974.577651883126,60688.751014820875,28812.621048315938,618507.2469400123,277593.9041656604,131741.3831300741,50288.55788277257,57374.8370848401,52806.66864428312,696876.8898192212,1123736.242044074,296638.4036158111,1617674.657042256,246749.24388492177,2308175.9753910108,236363.83048240643,577341.2706723792,2639346.204938093,635348.3460894251,591851.5578445242,2363995.1498128166,137250.27094013436,2594991.1475325194,33471.833123773,488167.8324215026,599415.8445596574,189730.74052219553,1978519.9238618151,1267728.0289882205,60760.72213377749,614974.5001396907,206478.4760512048,2759614.685302681,6021016.41749972,971006.0503846313,699584.2847037443,195704.35065764096,1028195.5816386301,75100.03074652179
Brescia,936977.8536776871,6159021.928585464,4726376.964189196,11978230.305612553,1641879.1306026268,20235645.48935966,34040570.1110595,0.0,2908818.6281067296,2087564.5459180898,8828434.665650532,5952314.272518982,2184033.9023270234,2801271.7960536117,6239817.467587215,487972.03160280385,140315.64929832704,432115.32494733424,162581.80363951,553320.172015679,51793.46894077533,246505.382068468,192312.85734539496,38168.96220292815,106293.91962758466,55067.7183462736,104751.84895253708,28630.82302257342,81472.76487185918,443366.1198807992,117151.51005280396,291245.5180865166,780750.6637836145,14190308.681480201,836947.2867291805,33241.58461912792,478625.3380914005,275153.6378202321,818863.3794409498,224799.06504822144,10503627.990030542,45513.84067321449,7757874.057488282,74091.04928794953,53474.15574663487,1009756.9407304935,55727.58891001225,491115.78807164857,2440486.6810448105,10347363.21384794,902858.795418405,2714099.367900751,1364244.1638968464,582524.7654947425,117914.8007433536,296312.41462071135,95871.92682666128,56029.95661681271,418156.7961212372,365899.09357213933,2388448.983061079,882131.6002016219,72526.33941112751,13500.540752094937,53699.11263470363,41568.03097983973,104042.31943035219,110923.06940616433,51601.659360373145,1203460.702836185,529228.1359633812,254538.92157337652,90722.9536711231,103081.69900219092,97519.90343498353,1463839.2411017853,2336606.5975133223,606343.0324261495,3806655.5898314514,480136.7964781998,5373497.152319672,439101.920488179,1338341.6138161675,5876396.386663033,1277225.9798370306,1162415.856409834,4297468.224890265,263254.8791505953,6094915.412810867,63530.67261192161,913366.0305319662,1273007.2345017118,353966.06158425123,2362587.2433441454,1831241.7764192726,115055.29864027172,890942.0395447814,268389.0723662406,2295078.626912158,8646961.104982018,1511429.7129413683,899476.0673992491,315810.7976718395,1701832.6011036977,123289.66324199946
Pavia,113494.13615927243,907969.3022805395,618956.4112947854,1118750.6648738077,98303.48847546958,5094735.148209061,2226463.6914242776,2908818.6281067296,0.0,409865.2732752104,604146.5426123374,280679.84622473177,131563.91556328797,137972.20022716862,391679.2299818077,35777.43982084276,12909.043758784712,38992.89900471372,14706.46733264062,50303.641532479676,4824.819300754069,22944.44079929256,18006.36234027503,3555.5373435615957,11521.012253382369,5823.138262835194,10947.000664066503,3046.15036022369,7745.7269661974415,48488.383493338304,10962.78693459929,27432.189399829072,79094.96786979526,752352.1919436463,53027.048792880676,3151.570098786212,45202.61705405187,25086.728170322054,77580.86849499392,21127.76352982703,431910.70449714875,4391.104151737794,461471.9624783895,6871.606403456372,5119.778677913054,90754.52237837201,5307.762195148535,45562.71909986572,222091.2749507048,1654618.4900053882,96040.33878852299,175839.93494544612,86124.33146521254,60685.112321606226,11464.52917276752,22052.592572267564,8846.306568699889,5492.475471690577,38609.53883089547,34721.69690580205,169781.42409949642,82198.217809042,7056.520103084213,1320.5882378379267,5336.16554041473,4094.1367732059525,10352.366055868066,10290.980201155688,5043.11264145907,109076.32668907527,49153.59980560752,22343.894173181186,8753.119135575533,10147.093553297358,8990.991581681952,116606.80746156779,156059.6250989415,49396.96648472352,302816.8938990531,41865.1771387833,394392.6799554871,42054.87665749957,89402.12458351067,444700.0063979284,105925.85696017505,98976.64774960936,644912.9725598189,23562.18144739835,461245.4036670292,5905.911103501821,87502.20624175807,97567.60109370547,33414.61280231144,565523.1928368608,491103.91408819176,10973.873986046707,185005.80040196024,46021.69303141166,162086.0152812384,1486555.8099046214,235027.87772628502,209514.3414988451,53776.926435997986,305743.8811808238,17923.034371598555
Lodi,52152.55174786593,423317.5030334876,322802.6563942028,676844.9137872849,58187.144427291474,2570870.6036991808,1671716.479098752,2087564.5459180898,409865.2732752104,0.0,433249.0618898087,168113.18126747705,72629.63811579063,79402.67517003867,213068.91684691355,18694.972953320354,6320.462561780839,19206.980670497192,7234.81816372241,24707.324920267663,2350.687049285347,11171.626137879764,8752.916494000965,1731.011221396875,5331.204320218081,2718.225957141442,5128.934781134425,1418.4253182366645,3745.9291802282373,23049.958215889972,5331.607781847872,13314.75936637416,38249.55494895122,425788.4653185105,28779.361308702264,1525.4134584515184,21916.179485582903,12495.390240072611,37582.00755741298,10260.25069033744,258047.07400774455,2113.281034262674,254757.71428782528,3352.026303709438,2470.210453671493,45004.92258606565,2565.2518450040025,22635.149724867588,110364.89705189802,1025529.8849048156,45396.62384755448,94996.63334058791,47085.957700783256,28988.03985080751,5503.280896023581,11477.226543438856,4321.10640391082,2629.438088458215,18850.209676521463,16948.059823212025,89459.65314564423,40011.02638814415,3386.4243552697885,632.6630768531509,2543.2253996827085,1956.9041655176738,4960.100354664785,5016.021184553408,2416.615476024674,53796.73108458317,24019.165518875816,11103.330620818952,4212.553984166323,4851.418341580501,4392.1667917088735,60038.286197942725,83570.37513606765,25184.11624766818,170419.4089771059,20856.238554037278,213182.66149204844,20316.86827439568,48438.829413419044,234741.15308565795,53649.29641659586,49663.587441668205,419550.4507292437,11638.805406216745,252276.82676264676,2883.7447469291233,42297.451702499435,50718.628503750566,16217.410615564135,196548.37953854186,148997.95620957672,5318.83838317575,64595.47727545575,18207.791755072867,98712.70614791696,572152.0452764462,94125.22913232697,70948.65741382267,20786.385413199336,116967.31875823114,7406.0820823576405
